"age","simulation","node_cs","node_mcc","node_hipstr","cs_prob","mcc_prob","hipstr_prob"
13,45,52,52,60,0.675,0.045,0.016
14,45,60,77,53,1,0.005,0.008
15,45,71,52,58,0.605,0.005,0.004
16,45,68,61,52,0.72,0.01,0.009
17,45,68,52,53,0.685,0.005,0.001
2,45,52,58,58,1,1,0.999
3,45,52,58,58,1,1,1
4,45,52,58,58,0.99,0.99,0.988
5,45,52,58,58,1,1,1
6,45,52,58,58,0.975,0.975,0.968
7,45,52,58,58,0.985,0.985,0.99
8,45,52,52,58,0.67,0.125,0.655
9,45,52,52,58,0.75,0.75,0.768
1,46,52,52,58,1,1,0.998
10,46,52,52,60,0.735,0.445,0.427
11,46,68,58,60,0.57,0.06,0.106
12,46,72,52,53,0.605,0.01,0.131
13,46,72,52,58,0.555,0.015,0.049
14,46,71,52,60,0.515,0.005,0.015
15,46,65,52,59,0.565,0.005,0.001
16,46,59,52,69,1,0.005,0
17,46,56,52,61,0.57,NA,0
2,46,52,52,58,0.93,0.93,0.948
3,46,52,52,58,0.85,0.85,0.905
4,46,90,60,52,0.52,0.965,0.541
5,46,52,52,58,1,0.49,0.49
6,46,85,52,52,0.525,0.525,0.503
7,46,52,52,58,0.76,0.76,0.763
8,46,67,52,58,0.84,0.215,0.337
9,46,52,52,53,0.525,0.525,0.515
1,47,52,58,58,1,1,0.998
10,47,62,53,53,0.51,0.5,0.458
11,47,71,52,63,0.705,0.005,0.005
12,47,65,62,52,0.66,0.005,0.087
13,47,52,68,55,0.515,0.005,0.021
14,47,64,52,58,0.83,0.005,0.047
15,47,52,92,55,1,0.005,0
16,47,66,52,60,0.535,0.005,0
17,47,59,96,60,1,0.005,0
2,47,52,52,58,1,1,0.997
3,47,52,58,58,0.97,0.97,0.953
4,47,52,52,58,0.94,0.94,0.91
5,47,52,58,58,0.985,0.985,0.973
6,47,52,58,58,0.885,0.885,0.897
7,47,52,58,58,0.54,0.42,0.383
8,47,52,60,60,0.69,0.465,0.431
9,47,81,52,58,0.535,0.42,0.455
1,48,52,52,58,0.55,0.55,0.581
10,48,71,52,59,0.55,0.065,0.068
11,48,70,61,61,0.65,0.055,0.041
12,48,70,52,64,0.54,0.01,0.015
13,48,52,52,58,0.6,0.04,0.046
14,48,65,54,59,0.56,0.005,0.002
15,48,49,52,58,NA,0.005,0
16,48,66,52,68,0.605,0.005,0
17,48,52,52,60,0.78,0.005,0
2,48,52,58,58,1,1,0.997
3,48,52,52,58,0.795,0.795,0.785
4,48,52,52,52,0.945,0.43,0.48
5,48,52,58,58,0.975,0.975,0.967
6,48,52,58,58,0.995,0.995,0.994
7,48,52,52,53,0.805,0.41,0.743
8,48,76,60,52,0.665,0.955,0.696
9,48,75,53,58,0.555,0.095,0.156
1,49,52,52,58,0.9,0.9,0.908
10,49,65,52,58,0.555,0.44,0.463
11,49,65,52,60,0.62,0.02,0.03
12,49,64,52,53,0.85,0.01,0.033
13,49,69,54,61,0.655,0.005,0.022
14,49,52,53,60,0.785,0.005,0.009
15,49,72,52,59,0.51,0.005,0.001
16,49,68,52,75,0.635,0.005,0
17,49,58,52,61,1,0.005,0
2,49,52,58,58,0.985,0.985,0.983
3,49,52,52,58,0.505,0.505,0.51
4,49,52,52,60,0.995,0.95,0.997
5,49,85,52,52,0.825,0.825,0.775
6,49,52,58,58,1,1,0.999
7,49,52,52,58,0.525,0.44,0.528
8,49,52,52,53,0.805,0.39,0.473
9,49,66,52,58,0.615,0.325,0.368
1,5,52,58,58,1,1,0.999
10,5,74,60,58,0.86,0.26,0.342
11,5,52,58,58,0.79,0.79,0.815
12,5,67,52,54,0.59,0.025,0.032
13,5,73,59,58,0.67,0.01,0.104
14,5,52,62,52,0.62,0.005,0.01
15,5,68,52,70,0.865,0.005,0
16,5,64,52,52,0.515,0.005,0.004
17,5,64,67,57,0.505,0.005,0
2,5,52,58,58,1,1,0.999
3,5,52,58,58,1,1,1
4,5,52,58,58,1,1,0.997
5,5,52,58,58,0.93,0.93,0.917
6,5,52,58,58,0.99,0.99,0.987
7,5,52,58,58,1,1,0.999
8,5,52,58,58,0.855,0.855,0.825
9,5,52,52,58,0.725,0.725,0.739
1,50,52,58,58,1,1,0.998
10,50,52,52,58,0.725,0.495,0.535
11,50,72,52,58,0.645,0.01,0.142
12,50,69,52,53,0.575,NA,0.028
13,50,64,52,56,0.69,0.01,0.014
14,50,69,52,64,0.645,0.005,0
15,50,57,84,52,1,0.005,0.008
16,50,70,52,59,0.695,0.005,0.001
17,50,65,52,58,0.665,0.005,0.011
2,50,52,58,58,1,1,1
3,50,52,58,58,1,1,1
4,50,52,58,58,0.745,0.745,0.712
5,50,52,52,58,0.695,0.695,0.675
6,50,52,52,58,0.565,0.565,0.561
7,50,52,58,58,0.655,0.655,0.646
8,50,52,52,52,0.83,NA,0.211
9,50,52,52,52,0.795,NA,0.255
1,6,52,52,58,0.995,0.995,0.996
10,6,68,52,60,0.57,0.07,0.313
11,6,64,52,52,1,NA,0.123
12,6,77,52,58,0.55,0.145,0.165
13,6,52,52,58,0.69,0.085,0.185
14,6,68,52,58,0.635,0.005,0.026
15,6,71,52,52,0.685,0.005,0
16,6,68,52,60,0.57,0.005,0
17,6,62,52,57,1,0.005,0
2,6,52,58,58,1,1,0.998
3,6,52,58,58,0.995,0.995,0.992
4,6,52,58,58,0.885,0.885,0.89
5,6,52,58,58,0.735,0.735,0.696
6,6,52,58,58,0.98,0.98,0.992
7,6,52,58,58,1,1,0.997
8,6,52,52,58,0.55,0.55,0.542
9,6,52,62,58,0.595,0.11,0.374
1,7,52,58,58,1,1,0.999
10,7,52,58,58,0.74,0.74,0.776
11,7,71,58,58,0.675,0.245,0.233
12,7,71,52,52,0.61,0.005,0.023
13,7,71,52,54,0.51,0.005,0.004
14,7,68,52,52,0.68,0.005,0
15,7,52,80,57,1,0.005,0
16,7,66,52,58,0.52,0.005,0.008
17,7,56,52,52,0.765,0.005,0.003
2,7,52,58,58,1,1,0.999
3,7,52,58,58,1,1,0.999
4,7,52,58,58,1,1,1
5,7,52,58,58,1,1,0.997
6,7,52,52,58,0.885,0.885,0.893
7,7,52,58,58,1,1,0.996
8,7,52,58,58,0.85,0.85,0.851
9,7,66,60,60,0.705,0.405,0.419
1,8,52,52,58,1,1,0.998
10,8,52,58,58,0.555,0.555,0.551
11,8,66,52,53,0.7,0.005,0.04
12,8,73,73,58,0.76,0.005,0.049
13,8,66,52,61,0.62,0.005,0
14,8,70,52,53,0.7,0.005,0.002
15,8,68,65,65,0.56,0.005,0
16,8,57,52,53,1,0.005,0.001
17,8,52,70,69,0.76,0.005,0
2,8,52,58,58,1,1,0.999
3,8,52,52,58,0.835,0.835,0.842
4,8,52,58,58,1,1,0.997
5,8,52,58,58,0.965,0.965,0.983
6,8,52,52,58,0.64,0.46,0.548
7,8,70,52,58,0.51,0.39,0.433
8,8,67,52,52,0.845,NA,0.303
9,8,52,58,58,0.825,0.825,0.817
1,9,52,52,58,1,1,0.996
10,9,79,60,60,0.54,0.31,0.295
11,9,52,59,59,0.535,0.13,0.11
12,9,64,52,52,0.61,0.015,0.054
13,9,71,52,58,0.55,0.015,0.089
14,9,52,52,60,0.585,NA,0.002
15,9,69,52,65,0.53,0.005,0.001
16,9,52,52,56,1,0.005,0
17,9,58,52,60,0.725,0.005,0
2,9,52,52,58,0.565,0.565,0.635
3,9,52,58,58,0.78,0.78,0.828
4,9,52,52,58,0.755,0.755,0.8
5,9,52,52,58,0.53,0.53,0.54
6,9,52,58,58,0.925,0.925,0.934
7,9,52,58,58,0.54,0.39,0.463
8,9,52,52,58,0.535,0.535,0.499
9,9,52,58,58,0.595,0.595,0.594
